,0,1,2,3,4,5,6,7,8,9,10,11
96,Mier3,Slc35f5,Hexb,Plekho1,Mt2,Fermt2,Ogn,Hoxa9,Postn,Clic5,Pcsk2,Cnn2
97,Cdhr2,Cdkn2b,Cyp2d9,Ogn,Cd177,Islr,Psd,Fut2,Fasn,Reg4,Rit2,Il16
98,Apob,Tmem45b,Mgam2-ps,Vim,Birc5,Hspb8,Rcn3,Atoh1,Col3a1,Cpe,Clip3,Ms4a1
99,Irf7,Aldh1a1,Maoa,Islr,Sidt1,Fam129a,Pcolce,Auts2,2410002F23Rik,Lhfpl2,Syt4,Rgs19
100,Slc40a1,Car4,Slco2a1,Ccl21a,Aspg,Lamb2,Gas1,Ccnb2,Utp20,Mgat4a,Gprasp1,Cd19
101,Sult1b1,Ctss,2010003K11Rik,Cavin2,Cracr2a,Aoc3,Bgn,Rrm1,Cdo1,Hbb-bs,Syt5,Evl
102,Chgb,Ccng2,Parp12,Cd59a,Rnf186,Mab21l2,Itga5,Gm13648,Dut,Sdcbp2,Vim,Grap
103,Ptprr,Chp2,Slc9a2,Cd81,S100g,Col4a2,Vim,Shmt1,Cotl1,Cyp2d12,Cend1,Cd22
104,Mal,Fer1l6,Glrx,Wfdc1,Sox9,Cavin3,Pgm5,Kit,Npm3,Ang4,Ifitm2,C1s1
105,Hoxb6,Trim25,Pmaip1,Lum,Tpd52l1,Cspg4,Cd248,Cldn2,Trf,Sord,Rab3c,Spi1
106,Lpin2,Mgam2-ps,Krt20,Sncg,Mki67,Svil,Jph2,Hmgcs2,Trim46,Hspb1,Plekhb1,Dock2
107,Adra2a,2010003K11Rik,Plk3,Il6st,Reg3g,Wfdc2,Ehd2,Snhg15,Clec3b,Smpdl3a,Epdr1,H2-Q6
108,S100g,Mier3,Clec2h,Hspb6,Itga2,Rbpms2,Mfge8,Mcm5,Tifa,Cnnm4,Tspyl4,Sema4d
109,Ctss,Adra2a,Nxpe4,Col4a2,Top2a,Uchl1,Tubb6,Rnf186,Snhg16,Slc9a3,Syp,Vpreb3
110,Car12,Glrx,Ces2c,Klhl23,Nanp,Asb2,Lum,Arhgef38,Adamts15,Pls1,Fxyd1,Lpxn
111,Reg3g,Cldn23,B3gnt7,Mcam,Cdk1,Ctxn3,Id4,Fabp2,Ggh,Igfbp2,Dner,Gng10
112,Cyp4f14,Gucd1,Stom,Popdc2,Fam57a,Sntg2,Emilin1,Hoxa10,Sh3bgr,Upp1,Nos1,Cd48
113,Selenop,Sgk2,Slc35f5,Maged1,Ceacam12,Igfbp7,Apoe,Ccl9,Cdk1,Maoa,Serpine2,Gimap1
114,Tph1,Sptssb,Ccng2,Synm,Cenpa,Rcn3,Hspb8,Fgfr3,Fxyd4,Slc6a14,Hap1,Lat2
115,Ces1d,Btg1,Anxa8,Mrvi1,Hilpda,Ogn,Timp3,E330009J07Rik,Snhg20,Neu1,Gpr37l1,Fabp5
116,Eif2s2,Mettl7b,Cyp3a13,Tspan2,Insrr,Mrvi1,Ppp1r14a,Sult1c2,Slc35a1,Smtn,Ngb,Dok3
