,GF,SPF
855,Gprasp2,Bmp5
856,Gfpt2,Kif21a
857,Gjc2,Kptn
858,Flt4,Pla2g2f
859,Ppm1f,Nup85
860,Arid4a,Ngb
861,Ankrd12,Flnc
862,Kyat1,C1qa
863,Birc2,Popdc2
864,Plxnb1,Aatk
865,Fnbp4,Phka2
866,Ly6d,Dock9
867,Zfp592,Syp
868,AB124611,Ncapg
869,Tnnt2,Art3
870,Gas1,Phf21b
871,Celf2,Pcsk2
872,C4b,Plekha2
873,Dffb,Phox2b
874,Peli3,Tmem268
875,Ints2,Nrep
876,Sox17,Mamdc2
877,Ppp1r18,Inmt
878,Lcp2,Chn1
879,Tet2,Plin4
880,E130317F20Rik,Tm4sf4
881,Zscan26,Mxra7
882,Mmp7,Itpkb
883,Trpv2,Synpo2
884,Rcn1,Mef2c
885,Rtn1,C9orf72
886,Fam118a,Cacnb1
887,Pgm5,Tgfb3
888,Metap1d,Casp12
889,Arhgap4,Basp1
890,Fmo5,Sephs1
891,Fst,Exph5
892,mt-Nd6,Olfr78
893,Nr4a2,Sln
894,Scg3,Myl1
895,Utp15,Serpina3n
896,Fermt3,Entpd3
897,Galnt18,Smc2
898,Zswim6,Slc39a8
899,Cenpa,Slc10a4
900,Tha1,Strip2
901,Serpina3g,Poglut2
902,Tbce,Cilp
903,Pard3b,Neurl1a
904,Fam193b,Snhg11
905,Itga4,Zcchc12
906,Tnrc6a,Ptbp2
907,C4bp,Cplx1
908,Fap,Tcf21
909,Fam107b,Tmem154
910,Arl4c,Adamts7
911,Il33,Cacna1d
912,Olfm1,Carmil3
913,Ryr3,Rpusd4
914,Qtrt2,Hand2os1
915,2610008E11Rik,Sv2a
916,Kcna2,Pimreg
917,Cd209g,Chrdl2
918,Ndufa4l2,Atl1
919,Tmem47,Fgfr4
920,Slc6a17,Adamts1
921,Riox1,Myb
922,C2cd3,Morn4
923,Mycl,Dact3
924,Lrrk2,Rhoj
925,Fat4,Ppp1r12b
926,Spc25,Pus7
927,Calcrl,Rgl1
928,Grin1,Tenm4
929,4931414P19Rik,Fhod3
930,Pld2,Fyn
931,Mgl2,Sfrp1
932,Arhgef25,Adnp2
933,Rprd1a,Hoxa7
934,Cdo1,Arsg
935,Rdx,Ptger4
936,Igfbp2,Stmn4
937,Ccdc184,Wdr35
938,Afap1,Myo5a
939,Pnpt1,Fgf10
940,Ccnl1,Napb
941,Unc5a,Chrna3
942,Nrros,Snhg10
943,Adrb2,Slc12a2
944,Camp,Zdhhc8
945,Clba1,Pnck
946,Upf3b,Rab3c
947,Cttnbp2,Wdr12
948,Nup155,Ret
949,Gimap8,Sall2
950,Jag2,Shmt1
951,I830077J02Rik,Myl4
952,Gramd1a,Cuedc1
953,Sox10,Cdc20
954,Pcolce2,Prg2
955,Pclo,Cd1d1
956,Chrm2,Tacr2
957,Agbl5,Creld1
958,Dhx33,Pcbp3
959,Cntn1,Htr3a
960,Sgo2a,Kcnab2
961,Smc4,Cav2
962,Cdh5,Tceal5
963,Cxcl14,Tmigd1
964,Rtn4rl1,Bglap
965,Mypop,Rundc3a
966,Sertad4,Sez6
967,Podn,Mmp23
968,Ido1,Prpf4
969,Cpsf6,Aplp1
970,Ankrd16,Fzd2
971,Nr2f1,Kit
972,Lepr,Pik3r5
973,Zfp459,Dpp6
974,Cytl1,Itga1
975,Unc45b,Clca3a1
976,Reck,Birc6
977,Lyrm7,Gda
978,Trim39,Fmod
979,Xcl1,Enpp3
980,Hand2,Prkd3
981,Trf,Rab3il1
982,Tspyl4,Cdh11
983,Elp3,Reep1
984,Uvssa,Scn11a
985,Nefl,Pear1
986,Lacc1,Mtmr10
987,Npm3,Lhfpl5
988,Mia2,Chil1
989,Abcc9,Papss2
990,Kdm1b,Mettl16
991,Ro60,Poglut1
992,Zfp992,Rcan2
993,Btbd9,Lrrc32
994,Apol9b,Snap91
